S. no.,Name of City,State,Type,Population (2011),Population class
405,Araria,Bihar,Nagar Panchayat.,"79,021",Class II
406,Rishikesh,Uttarakhand,Urban Agglomeration,"78,805",
407,Shahdol,Madhya Pradesh,Municipality,"78,624",
408,Medininagar (Daltonganj),Jharkhand,Nagar Parishad,"78,396",Class II
409,Arakkonam,Tamil Nadu,Municipality,"78,395",Class II
410,Washim,Maharashtra,Municipal Council,"78,387",Class II
411,Sangrur,Punjab,Municipal Council,"77,989",
412,Bodhan,Telangana,Municipality,"77,573",Class II
413,Fazilka,Punjab,Municipal Council,"76,492",Class II
414,Palacole,Andhra Pradesh,Urban Agglomeration,"76,308",
415,Keshod,Gujarat,Municipality,"76,193",Class II
416,Sullurpeta,Andhra Pradesh,Municipality,"75,925",
417,Wadhwan,Gujarat,Municipality,"75,755",Class II
418,Gurdaspur,Punjab,Municipal Council,"75,549",Class II
419,Vatakara,Kerala,Municipality,"75,295",Class II
420,Tura,Meghalaya,Municipality,"74,858",Class II
421,Narnaul,Haryana,Municipal Council,"74,581",Class II
422,Kharar,Punjab,Municipal Council,"74,460",Class II
423,Yadgir,Karnataka,City Municipal Council,"74,294",Class II
424,Ambejogai,Maharashtra,Municipal Council,"73,975",Class II
425,Ankleshwar,Gujarat,Municipality,"73,928",Class II
426,Savarkundla,Gujarat,Municipality,"73,774",
427,Paradip,Odisha,Notified area committee / Notified Area Council,"73,625",
428,Virudhachalam,Tamil Nadu,Municipality,"73,585",Class II
429,Kanhangad,Kerala,Municipality,"73,342",Class II
430,Kadi,Gujarat,Municipality,"73,228",Class II
431,Srivilliputhur,Tamil Nadu,Municipality,"73,183",
432,Gobindgarh,Punjab,Municipal Council,"73,130",Class II
433,Tindivanam,Tamil Nadu,Municipality,"72,796",Class II
434,Mansa,Punjab,Municipal Council,"72,627",
435,Taliparamba,Kerala,Municipality,"72,465",Class II
436,Manmad,Maharashtra,Municipal Council,"72,401",
437,Tanuku,Andhra Pradesh,Municipality,"72,348",Class II
438,Rayachoti,Andhra Pradesh,Census town,"72,297",
439,Virudhunagar,Tamil Nadu,Municipality,"72,296",Class II
440,Koyilandy,Kerala,Municipality,"71,873",Class II
441,Jorhat,Assam,Municipal board,"71,782",Class II
442,Karur,Tamil Nadu,Municipality,"70,980",Class II
443,Valparai,Tamil Nadu,Municipality,"70,859",Class II
444,Srikalahasti,Andhra Pradesh,Municipality,"70,854",
445,Neyyattinkara,Kerala,Municipality,"70,850",Class II
446,Bapatla,Andhra Pradesh,Municipality,"70,777",Class II
447,Fatehabad,Haryana,Municipal Council,"70,777",Class II
448,Malout,Punjab,Municipal Council,"70,765",
449,Sankarankovil,Tamil Nadu,Municipality,"70,574",Class II
450,Tenkasi,Tamil Nadu,Municipality,"70,545",Class II
451,Ratnagiri,Maharashtra,Municipal Council,"70,383",
452,Rabkavi Banhatti,Karnataka,City Municipal Council,"70,248",
453,Sikandrabad,Uttar Pradesh,Municipal board,"69,867",
454,Chaibasa,Jharkhand,Nagar Palika Parishad,"69,565",Class II
455,Chirmiri,Chhattisgarh,Municipal Corporation / Corporation.,"69,307",Class II
456,Palwancha,Telangana,Municipality,"69,088",
457,Bhawanipatna,Odisha,Municipality,"69,045",Class II
458,Kayamkulam,Kerala,Municipality,"68,634",Class II
459,Pithampur,Madhya Pradesh,Nagar Panchayat,"68,080",
460,Nabha,Punjab,Municipal Council,"67,972",Class II
461,"Shahabad, Hardoi",Uttar Pradesh,Municipal board,"67,751",
462,Dhenkanal,Odisha,Municipality,"67,414",Class II
463,Uran Islampur,Maharashtra,Municipal Council,"67,391",Class II
464,Gopalganj,Bihar,Nagar Panchayat,"67,339",Class II
465,Bongaigaon City,Assam,Municipal board,"67,322",Class II
466,Palani,Tamil Nadu,Municipality,"67,231",
467,Pusad,Maharashtra,Municipal Council,"67,116",
468,Sopore,Jammu and Kashmir,Urban Agglomeration,"66,963",
469,Pilkhuwa,Uttar Pradesh,Municipal board,"66,907",
470,Tarn Taran,Punjab,Municipal Council,"66,847",Class II
471,Renukoot,Uttar Pradesh,Urban Agglomeration,"66,597",
472,Mandamarri,Telangana,Municipality,"66,596",
473,Shahabad,Karnataka,Urban Agglomeration,"66,550",
474,Barbil,Odisha,Municipality,"66,540",Class II
475,Koratla,Telangana,Municipality,"66,504",Class II
476,Madhubani,Bihar,Municipality,"66,340",
477,Arambagh,West Bengal,Municipality,"66,175",Class II
478,Gohana,Haryana,Municipal Committee,"65,708",Class II
479,Ladnu,Rajasthan,Municipality,"65,575",Class II
480,Pattukkottai,Tamil Nadu,Municipality,"65,533",
481,Sirsi,Karnataka,Urban Agglomeration,"65,335",
482,Sircilla,Telangana,Municipality,"65,314",
483,Tamluk,West Bengal,Municipality,"65,306",Class II
484,Jagraon,Punjab,Municipal Council,"65,240",Class II
485,AlipurdUrban Agglomerationr,West Bengal,Municipality,"65,232",Class II
486,Alirajpur,Madhya Pradesh,Municipality,"65,232",Class II
487,Tandur,Telangana,Municipality,"65,115",Class II
488,Naidupet,Andhra Pradesh,Municipality,"65,000",Class II
489,Tirupathur,Tamil Nadu,Municipality,"64,125",Class II
490,Tohana,Haryana,Municipal Committee,"63,871",Class II
491,Ratangarh,Rajasthan,Municipality,"63,486",
492,Dhubri,Assam,Municipal board,"63,388",Class II
493,Masaurhi,Bihar,Nagar Parishad,"63,248",
494,Visnagar,Gujarat,Municipality,"63,073",Class II
495,Vrindavan,Uttar Pradesh,Municipal board,"63,005",Class II
496,Nokha,Rajasthan,Municipality,"62,699",Class II
497,Nagari,Andhra Pradesh,Municipality,"62,253",Class II
498,Narwana,Haryana,Municipal Council,"62,090",Class II
499,Ramanathapuram,Tamil Nadu,Municipality,"62,050",
500,Ujhani,Uttar Pradesh,Nagar Palika Parishad.,"62,039",Class II
501,Samastipur,Bihar,Urban Agglomeration,"61,998",
502,Laharpur,Uttar Pradesh,Nagar Palika Parishad,"61,990",Class II
503,Sangamner,Maharashtra,Municipal Council,"61,958",
504,Nimbahera,Rajasthan,Municipality,"61,949",Class II
505,Siddipet,Telangana,Municipality,"61,809",
506,Suri,West Bengal,Municipality,"61,806",
507,Diphu,Assam,Town Committee / Town Area Committee,"61,797",Class II
508,Jhargram,West Bengal,Municipality,"61,712",Class II
509,Shirpur-Warwade,Maharashtra,Municipal Council,"61,694",
510,Tilhar,Uttar Pradesh,Nagar Palika Parishad.,"61,444",Class II
511,Sindhnur,Karnataka,Town Municipal Council,"61,262",
512,Udumalaipettai,Tamil Nadu,Municipality,"61,133",Class II
513,Malkapur,Maharashtra,Municipal Council,"61,012",
514,Wanaparthy,Telangana,Municipality,"60,949",Class II
515,Gudur,Andhra Pradesh,Municipality,"60,625",Class II
516,Kendujhar,Odisha,Municipality,"60,590",Class II
517,Mandla,Madhya Pradesh,Urban Agglomeration,"60,542",
518,Mandi,Himachal Pradesh,Municipal Council,"60,387",
519,Nedumangad,Kerala,Municipality,"60,161",Class II
520,North Lakhimpur,Assam,Municipal board,"59,814",Class II
521,Vinukonda,Andhra Pradesh,Municipality,"59,725",Class II
522,Tiptur,Karnataka,City Municipal Council,"59,543",Class II
523,Gobichettipalayam,Tamil Nadu,Municipality,"59,523",Class II
524,Sunabeda,Odisha,Notified area committee / Notified Area Council,"58,884",
525,Wani,Maharashtra,Municipal Council,"58,840",Class II
526,Upleta,Gujarat,Municipality,"58,775",Class II
527,Narasapuram,Andhra Pradesh,Municipality,"58,770",Class II
528,Nuzvid,Andhra Pradesh,Municipality,"58,590",Class II
529,Tezpur,Assam,Municipal board.,"58,559",Class II
530,Una,Gujarat,Municipality,"58,528",Class II
531,Markapur,Andhra Pradesh,Municipality,"58,462",
532,Sheopur,Madhya Pradesh,Urban Agglomeration,"58,342",
533,Thiruvarur,Tamil Nadu,Municipality,"58,301",Class II
534,Sidhpur,Gujarat,Urban Agglomeration,"58,194",
535,Sahaswan,Uttar Pradesh,Municipal board,"58,184",
536,Suratgarh,Rajasthan,Municipality,"58,119",
537,Shajapur,Madhya Pradesh,Urban Agglomeration,"57,818",
538,Rayagada,Odisha,Municipality,"57,759",
539,Lonavla,Maharashtra,Municipal Council,"57,698",Class II
540,Ponnur,Andhra Pradesh,Municipality,"57,640",
541,Kagaznagar,Telangana,Municipality,"57,583",Class II
542,Gadwal,Telangana,Municipality,"57,569",Class II
543,Bhatapara,Chhattisgarh,Municipality,"57,537",Class II
544,Kandukur,Andhra Pradesh,Municipality,"57,246",Class II
545,Sangareddy,Telangana,Municipality,"57,113",
546,Unjha,Gujarat,Municipality,"57,108",Class II
547,Lunglei,Mizoram,Notified Town,"57,011",Class II
548,Karimganj,Assam,Municipal board,"56,854",Class II
549,Kannur,Kerala,Municipality,"56,823",Class II
550,Bobbili,Andhra Pradesh,Municipality,"56,819",Class II
551,Mokameh,Bihar,Municipality,"56,615",
552,Talegaon Dabhade,Maharashtra,Municipal Council,"56,435",Class II
553,Anjangaon,Maharashtra,Municipal Council,"56,380",Class II
554,Mangrol,Gujarat,Urban Agglomeration,"56,320",
555,Sunam,Punjab,Urban Agglomeration,"56,251",
556,Gangarampur,West Bengal,Municipality,"56,175",Class II
557,Thiruvallur,Tamil Nadu,Municipality,"56,074",Class II
558,Tirur,Kerala,Municipality,"56,058",Class II
559,Rath,Uttar Pradesh,Municipal board,"55,950",
560,Jatani,Odisha,Municipality,"55,925",Class II
561,Viramgam,Gujarat,Municipality,"55,821",Class II
562,Rajsamand,Rajasthan,Municipality,"55,687",
563,Yanam,Puducherry,Municipality,"55,626",Class II
564,Kottayam,Kerala,Municipality,"55,374",Class II
565,Panruti,Tamil Nadu,Municipality,"55,346",
566,Dhuri,Punjab,Municipal Council,"55,225",Class II
567,Namakkal,Tamil Nadu,Municipality,"55,145",Class II
568,Kasaragod,Kerala,Municipality,"54,172",Class II
569,Modasa,Gujarat,Municipality,"54,135",
570,Rayadurg,Andhra Pradesh,Municipality,"54,125",
571,Supaul,Bihar,Municipality,"54,085",
572,Kunnamkulam,Kerala,Municipality,"54,071",Class II
573,Umred,Maharashtra,Municipal Council,"53,971",Class II
574,Bellampalle,Telangana,Municipality,"53,958",Class II
575,Sibsagar,Assam,Municipal board,"53,854",
576,Mandi Dabwali,Haryana,Municipal Committee,"53,811",
577,Ottappalam,Kerala,Municipality,"53,792",Class II
578,Dumraon,Bihar,Notified area committee / Notified Area Council,"53,618",Class II
579,Samalkot,Andhra Pradesh,Municipality,"53,602",
580,Jaggaiahpet,Andhra Pradesh,Municipality,"53,530",Class II
581,Goalpara,Assam,Municipal board,"53,430",Class II
582,Tuni,Andhra Pradesh,Municipality,"53,425",Class II
583,Lachhmangarh,Rajasthan,Municipality,"53,392",Class II
584,Bhongir,Telangana,Municipality,"53,339",Class II
585,Amalapuram,Andhra Pradesh,Municipality,"53,231",Class II
586,Firozpur Cantt.,Punjab,Cantonment Board / Cantonment,"53,199",Class II
587,Vikarabad,Telangana,Municipality,"53,143",Class II
588,Thiruvalla,Kerala,Municipality,"52,883",Class II
589,Sherkot,Uttar Pradesh,Municipal board,"52,880",
590,Palghar,Maharashtra,Municipal Council,"52,677",
591,Shegaon,Maharashtra,Municipal Council,"52,423",
592,Jangaon,Telangana,Municipality,"52,394",Class II
593,Bheemunipatnam,Andhra Pradesh,Municipality,"52,110",Class II
594,Panna,Madhya Pradesh,Urban Agglomeration,"52,057",
595,Thodupuzha,Kerala,Municipality,"52,045",Class II
596,KathUrban Agglomeration,Jammu and Kashmir,Municipal Council,"51,991",Class II
597,Palitana,Gujarat,Municipality,"51,944",
598,Arwal,Bihar,Nagar Panchayat.,"51,849",Class II
599,Venkatagiri,Andhra Pradesh,Municipality,"51,708",Class II
600,Kalpi,Uttar Pradesh,Nagar Palika Parishad,"51,670",Class II
601,Rajgarh (Churu),Rajasthan,Urban Agglomeration,"51,640",
602,Sattenapalle,Andhra Pradesh,Municipality,"51,404",
603,Arsikere,Karnataka,Town Municipal Council,"51,336",Class II
604,Ozar,Maharashtra,Census town,"51,297",Class II
605,Thirumangalam,Tamil Nadu,Municipality,"51,194",Class II
606,Petlad,Gujarat,Municipality,"51,147",
607,Nasirabad,Rajasthan,Cantonment Board / Cantonment,"50,804",Class II
608,Phaltan,Maharashtra,Municipal Council,"50,800",
609,Rampurhat,West Bengal,Municipality,"50,613",
610,Nanjangud,Karnataka,Town Municipal Council,"50,598",Class II
611,Forbesganj,Bihar,Municipality,"50,475",Class II
612,Tundla,Uttar Pradesh,Nagar Palika Parishad,"50,423",Class II
613,BhabUrban Agglomeration,Bihar,Nagar Panchayat,"50,179",Class II
614,Sagara,Karnataka,Town Municipal Council,"50,131",
615,Pithapuram,Andhra Pradesh,Municipality,"50,103",
616,Sira,Karnataka,Town Municipal Council,"50,088",
617,Bhadrachalam,Telangana,Census town,"50,087",Class II
618,Charkhi Dadri,Haryana,Nagar Palika Parishad,"49,985",Class III
619,Chatra,Jharkhand,Municipality,"49,985",Class III
620,Palasa Kasibugga,Andhra Pradesh,Nagar Panchayat,"49,899",
621,Nohar,Rajasthan,Municipality,"49,835",Class III
622,Yevla,Maharashtra,Municipal Council,"49,826",Class III
623,Sirhind Fatehgarh Sahib,Punjab,Municipal Council,"49,825",
624,Bhainsa,Telangana,Municipality,"49,764",Class III
625,Parvathipuram,Andhra Pradesh,Municipality,"49,714",
626,Shahade,Maharashtra,Municipal Council,"49,696",
627,Chalakudy,Kerala,Municipality,"49,525",Class III
628,Narkatiaganj,Bihar,Nagar Parishad,"49,507",Class III
629,Kapadvanj,Gujarat,Municipality,"49,308",Class III
630,Macherla,Andhra Pradesh,Municipality,"49,221",
631,Raghogarh-Vijaypur,Madhya Pradesh,Municipality,"49,173",
632,Rupnagar,Punjab,Municipal Council,"49,159",
633,Naugachhia,Bihar,Nagar Panchayat,"49,069",Class III
634,Sendhwa,Madhya Pradesh,Municipality,"48,941",
635,Byasanagar,Odisha,Municipality,"48,911",Class III
636,Sandila,Uttar Pradesh,Municipal board,"48,899",
637,Gooty,Andhra Pradesh,Census town,"48,658",Class III
638,Salur,Andhra Pradesh,Municipality,"48,354",
639,Nanpara,Uttar Pradesh,Nagar Palika Parishad,"48,337",Class III
640,Sardhana,Uttar Pradesh,Municipal board,"48,314",
641,Vita,Maharashtra,Municipal Council,"48,289",Class III
642,Gumia,Jharkhand,Census town,"48,141",Class III
643,Puttur,Karnataka,Town Municipal Council,"48,070",
644,Jalandhar Cantt.,Punjab,Cantonment Board / Cantonment,"47,845",Class III
645,Nehtaur,Uttar Pradesh,Nagar Palika Parishad,"47,834",Class III
646,Changanassery,Kerala,Municipality,"47,685",Class III
647,Mandapeta,Andhra Pradesh,Municipality,"47,638",
648,Dumka,Jharkhand,Notified area committee / Notified Area Council,"47,584",Class III
649,Seohara,Uttar Pradesh,Urban Agglomeration,"47,575",
650,Umarkhed,Maharashtra,Municipal Council,"47,458",Class III
651,Madhupur,Jharkhand,Municipality,"47,326",
652,Vikramasingapuram,Tamil Nadu,Municipality,"47,241",Class III
653,Punalur,Kerala,Municipality,"47,235",
654,Kendrapara,Odisha,Municipality,"47,006",Class III
655,Sihor,Gujarat,Municipality,"46,960",
656,Nellikuppam,Tamil Nadu,Municipality,"46,678",Class III
657,Samana,Punjab,Municipal Council,"46,592",
658,Warora,Maharashtra,Municipal Council,"46,532",Class III
659,Nilambur,Kerala,Census town,"46,366",Class III
660,Rasipuram,Tamil Nadu,Municipality,"46,330",
661,Ramnagar,Uttarakhand,Municipal board,"46,205",
662,Jammalamadugu,Andhra Pradesh,Nagar Panchayat,"46,069",Class III
663,Nawanshahr,Punjab,Municipal Council,"46,024",Class III
664,Thoubal,Manipur,Municipal Council,"45,947",Class III
665,Athni,Karnataka,Town Municipal Council,"45,858",Class III
666,Cherthala,Kerala,Municipality,"45,827",Class III
667,Sidhi,Madhya Pradesh,Municipality,"45,700",
668,Farooqnagar,Telangana,Census town.,"45,675",Class III
669,Peddapuram,Andhra Pradesh,Municipality,"45,520",
670,Chirkunda,Jharkhand,Nagar Panchayat,"45,508",Class III
671,Pachora,Maharashtra,Municipal Council,"45,333",
672,Madhepura,Bihar,Municipality,"45,031",
673,Pithoragarh,Uttarakhand,Municipal board,"44,964",
674,Tumsar,Maharashtra,Municipal Council,"44,869",Class III
675,Phalodi,Rajasthan,Urban Agglomeration,"44,868",
676,Tiruttani,Tamil Nadu,Municipality,"44,781",Class III
677,Rampura Phul,Punjab,Urban Agglomeration,"44,665",
678,Perinthalmanna,Kerala,Municipality,"44,612",
679,Padrauna,Uttar Pradesh,Municipal board,"44,383",
680,Pipariya,Madhya Pradesh,Urban Agglomeration,"44,378",
681,Dalli-Rajhara,Chhattisgarh,Municipality,"44,363",Class III
682,Punganur,Andhra Pradesh,Nagar Panchayat,"44,314",
683,Mattannur,Kerala,Municipality,"44,313",
684,Mathura,Uttar Pradesh,Municipality,"44,313",
685,Thakurdwara,Uttar Pradesh,Nagar Palika Parishad.,"44,255",Class III
686,Nandivaram-Guduvancheri,Tamil Nadu,Town Panchayat,"44,098",Class III
687,Mulbagal,Karnataka,Town Municipal Council,"44,033",
688,Manjlegaon,Maharashtra,Municipal Council,"44,029",
689,Wankaner,Gujarat,Municipality,"43,881",Class III
690,Sillod,Maharashtra,Municipal Council,"43,867",
691,Nidadavole,Andhra Pradesh,Municipality,"43,809",Class III
692,Surapura,Karnataka,Town Municipal Council,"43,622",
693,Rajagangapur,Odisha,Municipality,"43,594",
694,Sheikhpura,Bihar,Municipality,"43,113",
695,Parlakhemundi,Odisha,Municipality,"43,097",
696,Kalimpong,West Bengal,Municipality,"42,998",Class III
697,Siruguppa,Karnataka,Town Panchayat,"42,919",
698,Arvi,Maharashtra,Municipal Council,"42,822",Class III
699,Limbdi,Gujarat,Municipality,"42,769",Class III
700,Barpeta,Assam,Municipal board,"42,649",Class III
701,Manglaur,Uttarakhand,Municipal board,"42,584",
702,Repalle,Andhra Pradesh,Municipality,"42,539",
703,Mudhol,Karnataka,Town Municipal Council,"42,461",
704,Shujalpur,Madhya Pradesh,Municipality,"42,461",
705,Mandvi,Gujarat,Municipality,"42,355",
706,Thangadh,Gujarat,Municipality,"42,351",Class III
707,Sironj,Madhya Pradesh,Municipality,"42,179",
708,Nandura,Maharashtra,Municipal Council,"42,167",Class III
709,Shoranur,Kerala,Municipality,"42,029",
710,Nathdwara,Rajasthan,Municipality,"42,016",Class III
711,Periyakulam,Tamil Nadu,Municipality,"42,012",
712,Sultanganj,Bihar,Notified area,"41,958",
713,Medak,Telangana,Nagar Panchayat,"41,945",
714,Narayanpet,Telangana,Nagar Panchayat,"41,752",Class III
715,Raxaul Bazar,Bihar,Municipality,"41,610",
716,Rajauri,Jammu and Kashmir,Notified area committee / Notified Area Council,"41,552",
717,Pernampattu,Tamil Nadu,Town Panchayat,"41,499",
718,Nainital,Uttarakhand,Nagar Palika Parishad,"41,377",Class III
719,Ramachandrapuram,Andhra Pradesh,Municipality,"41,370",
720,Vaijapur,Maharashtra,Municipal Council,"41,296",Class III
721,Nangal,Punjab,Municipal Council,"41,172",Class III
722,Sidlaghatta,Karnataka,Town Municipal Council,"41,098",
723,Punch,Jammu and Kashmir,Municipal board,"40,987",
724,Pandhurna,Madhya Pradesh,Municipality,"40,931",
725,Wadgaon Road,Maharashtra,Census town.,"40,884",Class III
726,Talcher,Odisha,Municipality,"40,841",Class III
727,Varkala,Kerala,Municipality,"40,728",Class III
728,Pilani,Rajasthan,Urban Agglomeration,"40,590",
729,Nowgong,Madhya Pradesh,Municipality,"40,580",Class III
730,Naila Janjgir,Chhattisgarh,Municipality,"40,561",Class III
731,Mapusa,Goa,Municipal Council,"40,487",
732,Vellakoil,Tamil Nadu,Municipality,"40,359",Class III
733,Merta City,Rajasthan,Municipality,"40,252",
734,Sivaganga,Tamil Nadu,Urban Agglomeration,"40,220",
735,Mandideep,Madhya Pradesh,Municipality,"39,859",
736,Sailu,Maharashtra,Municipal Council,"39,851",
737,Vyara,Gujarat,Municipality,"39,789",Class III
738,Kovvur,Andhra Pradesh,Municipality,"39,667",Class III
739,Vadalur,Tamil Nadu,Town Panchayat,"39,514",Class III
740,Nawabganj,Uttar Pradesh,Nagar Palika Parishad,"39,241",Class III
741,Padra,Gujarat,Urban Agglomeration,"39,205",
742,Sainthia,West Bengal,Municipality,"39,145",
743,Siana,Uttar Pradesh,Municipal board,"38,999",
744,Shahpur,Karnataka,Town Municipal Council,"38,907",
745,Sojat,Rajasthan,Municipality,"38,883",
746,Noorpur,Uttar Pradesh,Nagar Palika Parishad,"38,806",Class III
747,Paravoor,Kerala,Municipality,"38,652",
748,Murtijapur,Maharashtra,Municipal Council,"38,554",
749,Ramnagar,Bihar,Notified area,"38,554",
750,Sundargarh,Odisha,Municipality,"38,421",
751,Taki,West Bengal,Municipality,"38,263",Class III
752,Saundatti-Yellamma,Karnataka,Town Municipal Council,"38,155",
753,Pathanamthitta,Kerala,Municipality,"38,009",
754,Wadi,Karnataka,Town Municipal Council,"37,988",Class III
755,Rameshwaram,Tamil Nadu,Town Panchayat,"37,968",
756,Tasgaon,Maharashtra,Municipal Council,"37,945",Class III
757,Sikandra Rao,Uttar Pradesh,Municipal board,"37,938",
758,Sihora,Madhya Pradesh,Municipality,"37,870",
759,Tiruvethipuram,Tamil Nadu,Municipality,"37,802",Class III
760,Tiruvuru,Andhra Pradesh,Municipality,"37,802",Class III
761,Mehkar,Maharashtra,Municipal Council,"37,715",
762,Peringathur,Kerala,Census town,"37,699",
763,Perambalur,Tamil Nadu,Town Panchayat,"37,631",
764,Manvi,Karnataka,Town Municipal Council,"37,613",
765,Zunheboto,Nagaland,Town Committee / Town Area Committee,"37,447",Class III
766,Mahnar Bazar,Bihar,Municipality,"37,370",
767,Attingal,Kerala,Municipality,"37,346",Class III
768,Shahbad,Haryana,Municipal Committee,"37,289",
769,Puranpur,Uttar Pradesh,Municipal board,"37,233",
770,Nelamangala,Karnataka,Town Municipal Council,"37,232",Class III
771,Nakodar,Punjab,Municipal Council,"36,973",Class III
772,Lunawada,Gujarat,Municipality,"36,954",Class III
773,Murshidabad,West Bengal,Municipality,"36,947",
774,Mahe,Puducherry,Municipality,"36,828",
775,Lanka,Assam,Municipal board,"36,805",Class III
776,Rudauli,Uttar Pradesh,Municipal board,"36,776",
777,Tuensang,Nagaland,Town Committee / Town Area Committee,"36,774",Class III
778,Lakshmeshwar,Karnataka,Town Municipal Council,"36,754",Class III
779,Zira,Punjab,Municipal Council,"36,732",Class III
780,Yawal,Maharashtra,Municipal Council,"36,706",Class III
781,Thana Bhawan,Uttar Pradesh,Nagar Panchayat.,"36,669",Class III
782,Ramdurg,Karnataka,Urban Agglomeration,"36,649",
783,Pulgaon,Maharashtra,Municipal Council,"36,522",
784,Sadasivpet,Telangana,Municipality,"36,334",
785,Nargund,Karnataka,Town Municipal Council,"36,291",Class III
786,Neem-Ka-Thana,Rajasthan,Municipality,"36,231",Class III
787,Memari,West Bengal,Municipality,"36,207",
788,Nilanga,Maharashtra,Municipal Council,"36,172",Class III
789,Naharlagun,Arunachal Pradesh,Notified Town,"36,158",Class III
790,Pakaur,Jharkhand,Municipality,"36,029",
791,Wai,Maharashtra,Municipal Council,"36,025",Class III
792,Tarikere,Karnataka,Town Municipal Council,"35,942",Class III
793,Malavalli,Karnataka,Town Municipal Council,"35,851",
794,Raisen,Madhya Pradesh,Municipality,"35,702",
795,Lahar,Madhya Pradesh,Nagar Panchayat,"35,674",Class III
796,Uravakonda,Andhra Pradesh,Census town,"35,565",Class III
797,Savanur,Karnataka,Town Municipal Council,"35,563",
798,Sirohi,Rajasthan,Municipality,"35,544",
799,Udhampur,Jammu and Kashmir,Urban Agglomeration,"35,507",Class III
800,Umarga,Maharashtra,Municipal Council,"35,477",Class III
801,Pratapgarh,Rajasthan,Municipality,"35,422",
802,Lingsugur,Karnataka,Town Municipal Council,"35,411",Class III
803,Usilampatti,Tamil Nadu,Municipality,"35,219",Class III
804,Palia Kalan,Uttar Pradesh,Municipal board,"35,029",
805,Wokha,Nagaland,Town Committee / Town Area Committee.,"35,004",Class III
806,Rajpipla,Gujarat,Municipality,"34,923",
807,Vijayapura,Karnataka,Town Municipal Council,"34,866",Class III
808,Rawatbhata,Rajasthan,Municipality,"34,690",
809,Sangaria,Rajasthan,Municipality,"34,537",
810,Paithan,Maharashtra,Municipal Council,"34,518",
811,Rahuri,Maharashtra,Municipal Council,"34,476",
812,Patti,Punjab,Municipal Council,"34,444",
813,Zaidpur,Uttar Pradesh,Nagar Panchayat,"34,443",Class III
814,Lalsot,Rajasthan,Municipality,"34,363",Class III
815,Maihar,Madhya Pradesh,Municipality,"34,342",
816,Vedaranyam,Tamil Nadu,Municipality,"34,266",Class III
817,Nawapur,Maharashtra,Municipal Council,"34,207",Class III
818,Solan,Himachal Pradesh,Municipal Council,"34,206",
819,Vapi,Gujarat,Industrial Notified Area,"34,162",Class III
820,Sanawad,Madhya Pradesh,Municipality,"34,114",
821,Warisaliganj,Bihar,Nagar Panchayat.,"34,056",Class III
822,Revelganj,Bihar,Municipality,"34,042",
823,Sabalgarh,Madhya Pradesh,Urban Agglomeration,"34,039",
824,Tuljapur,Maharashtra,Municipal Council,"34,011",Class III
825,Simdega,Jharkhand,Notified area,"33,981",
826,Musabani,Jharkhand,Census town,"33,980",
827,Kodungallur,Kerala,Municipality,"33,935",Class III
828,Phulabani,Odisha,Notified area committee / Notified Area Council,"33,890",
829,Umreth,Gujarat,Municipality,"33,762",Class III
830,Narsipatnam,Andhra Pradesh,Census town,"33,757",Class III
831,Nautanwa,Uttar Pradesh,Nagar Palika Parishad,"33,753",Class III
832,Rajgir,Bihar,Notified area,"33,738",
833,Yellandu,Telangana,Municipality,"33,732",Class III
834,Sathyamangalam,Tamil Nadu,Municipality,"33,722",
835,Pilibanga,Rajasthan,Municipality,"33,608",
836,Morshi,Maharashtra,Municipal Council,"33,607",
837,Pehowa,Haryana,Municipal Committee,"33,564",
838,Sonepur,Bihar,Notified area,"33,490",
839,Pappinisseri,Kerala,Census town,"33,273",
840,Zamania,Uttar Pradesh,Nagar Panchayat,"33,243",Class III
841,Mihijam,Jharkhand,Notified area,"33,236",
842,Purna,Maharashtra,Municipal Council,"33,225",
843,Puliyankudi,Tamil Nadu,Municipality,"33,187",
844,"Shikarpur, Bulandshahr",Uttar Pradesh,Municipal board,"33,187",
845,Umaria,Madhya Pradesh,Municipality,"33,114",Class III
846,Porsa,Madhya Pradesh,Municipality,"33,103",
847,Naugawan Sadat,Uttar Pradesh,Nagar Panchayat,"32,954",Class III
848,Fatehpur Sikri,Uttar Pradesh,Municipal board.,"32,905",Class III
849,Manuguru,Telangana,Census town,"32,893",
850,Udaipur,Tripura,Municipal Council,"32,758",Class III
851,Pipar City,Rajasthan,Municipality,"32,735",
852,Pattamundai,Odisha,Notified area committee / Notified Area Council,"32,730",
853,Nanjikottai,Tamil Nadu,Census town,"32,689",Class III
854,Taranagar,Rajasthan,Municipality,"32,640",Class III
855,Yerraguntla,Andhra Pradesh,Census town,"32,574",Class III
856,Satana,Maharashtra,Municipal Council,"32,561",
857,Sherghati,Bihar,Notified area,"32,526",
858,Sankeshwara,Karnataka,Town Municipal Council,"32,511",
859,Madikeri,Karnataka,Town Municipal Council,"32,496",
860,Thuraiyur,Tamil Nadu,Municipality,"32,439",Class III
861,Sanand,Gujarat,Municipality,"32,417",
862,Rajula,Gujarat,Municipality,"32,395",
863,Kyathampalle,Telangana,Census town,"32,385",Class III
864,"Shahabad, Rampur",Uttar Pradesh,Nagar Panchayat,"32,370",
865,Tilda Newra,Chhattisgarh,Municipality,"32,331",Class III
866,Narsinghgarh,Madhya Pradesh,Municipality,"32,329",Class III
867,Chittur-Thathamangalam,Kerala,Municipality,"32,298",Class III
