Target,AKA,description ,sector,"organisation size 1,5,10,25,100,300 ",revenue $USD million ,cost,ransom cost,data note,ransom paid,YEAR code,YEAR,month,location,interesting story (edited),interesting story (long),interesting story?,Ransomware,stock symbol,revenue as of,no of employees,Data Note,Source Name,URL,URL 2,URL 3,URL 4,URL 5,#ID
Campbell County Health,,,healthcare,5,176,unknown,,,unknown,3,2019,SEP,USA,,,,unknown,,,,,,https://www.fiercehealthcare.com/tech/campbell-county-health-wyoming-hit-ransomware-attack-diverts-er-patients,,,,,244
City of Albany,,,government,1,,unknown,,,unknown,3,2019,APR,USA,,,,unknown,,,,,,https://edition.cnn.com/2019/04/06/politics/albany-new-york-ransomware-attack/index.html,,,,,243
City of New Bedford,,,government,1,,5.3,5.3,,refused,3,2019,SEP,USA,,"The city was unable to pay the ransom of $5.3M, primarily due to the lack of funds, but still reached out to the hackers to make a counter offer of $400k - which was rejected. The city then decided to restore from backups and this task was done easily because luckily, a small number of non-critical systems were affected.",y,Ryuk,,,,,,https://www.zdnet.com/article/ransomware-gang-wanted-5-3-million-from-us-city-but-they-only-offered-400000/,,,,,242
Grays Harbour,,community hospital,healthcare,5,87,1,,,refused,3,2019,AUG,USA,,,,unknown,,,,,,https://healthitsecurity.com/news/hackers-demand-1m-in-grays-harbor-ransomware-attack,,,,,241
CyrusOne,,one of US' biggest data centre providers,tech,10,1000,unknown,,,unknown,3,2019,DEC,USA,,,,REvil,,,,,,https://www.zdnet.com/article/ransomware-attack-hits-major-us-data-center-provider/,,,,,240
Tribune Publishing,,,media & sports,10,983,unknown,,,unknown,3,2019,JAN,USA,,,,unknown,,,,,,https://www.csoonline.com/article/3330645/major-us-newspapers-crippled-by-ryuk-ransomware-attack.html,,,,,239
Hackensack Meridian ,Hackensack Meridian Hospital,,healthcare,10,6000,unknown,,,ransom paid,3,2019,DEC,USA,,,,unknown,,,,,,https://www.nj.com/business/2019/12/hackensack-meridian-hospital-chain-confirms-ransomware-attack-last-week.html,,,,,238
Norsk Hydro,,global Norwegian aluminium producer,misc,10,16000,45,45,cost,refused,3,2019,JUN,Norway,,,,unknown,,,,,,https://www.bbc.com/news/business-48661152,,,,,237
Boeing,,,tech,100,76000,unknown,,,unknown,4,2018,MAR,USA,,,,WannaCry,,,,,,https://www.forbes.com/sites/leemathews/2018/03/30/boeing-is-the-latest-wannacry-ransomware-victim/?sh=4c19b70e6634,,,,,236
LabCorp,,American medical testing giant,healthcare,10,11000,unknown,,,unknown,4,2018,JUL,USA,,,,SamSam,,,,,,https://www.wsj.com/articles/medical-testing-giant-labcorp-hit-by-ransomware-attack-1532001600,https://www.healthcareitnews.com/news/labcorp-still-recovering-ransomware-wont-say-if-its-samsam,,,,235
Brazil Foreign Ministry,,,government,1,,$300-$600 per system,,,unknown,5,2017,MAY,Brazil,,,,WannaCry,,,,,,https://www.dataprotectionreport.com/2017/05/wannacry-ransomware-attack-summary/,,,,,234
Sandvik,,Swedish IT firm,tech,10,10000,$300-$600 per system,,,refused,5,2017,MAY,Sweden,,,,WannaCry,,,,,,https://www.thelocal.se/20170513/swedish-company-among-those-hit-by-international-hacking-attack/,,,,,233
Singapore malls ,,,retail,1,,$300-$600 per system,,,unknown,5,2017,MAY,Singapore,,,,WannaCry,,,,,,https://www.straitstimes.com/singapore/global-ransomware-attack-hits-digital-directory-at-tiong-bahru-plaza,,,,,232
Ireland hospitals,,,healthcare,1,,$300-$600 per system,,,unknown,5,2017,MAY,Ireland,,,,WannaCry,,,,,,https://www.irishtimes.com/business/technology/irish-hospital-fended-off-5-000-cyber-attacks-says-hse-1.3086773,,,,,231
WBSEDCL,West Bengal State Electricity Distribution Company,,government,1,,$300-$600 per system,,,unknown,5,2017,MAY,India,,,,WannaCry,,,,,,https://www.wionews.com/south-asia/ransomware-hits-west-bengal-state-electricity-company-kerala-panchayat-office-15618,,,,,230
Andhra Pradesh Police,,,government,1,,$300-$600 per system,,,unknown,5,2017,MAY,India,,,,WannaCry,,,,,,https://www.bbc.com/news/world-39919249,,,,,229
Dharmais Cancer Hospital,,,healthcare,1,,$300-$600 per system,,,refused,5,2017,MAY,Indonesia,,,,WannaCry,,,,,,https://www.thejakartapost.com/news/2017/05/15/ransomware-attacks-nations-largest-cancer-hospital.html,,,,,228
CJ CGV,,South Korea's biggest cinema chain,media & sports,10,1000,$300-$600 per system,,,unknown,5,2017,MAY,South Korea,,,,WannaCry,,,,,,https://www.bbc.com/news/world-39919249,http://www.koreaherald.com/view.php?ud=20170515000211,,,,227
Russia Central Bank,,,government,25,37000,$300-$600 per system,,,unknown,5,2017,MAY,Russia,,,,WannaCry,,,,,,https://www.dataprotectionreport.com/2017/05/wannacry-ransomware-attack-summary/,https://www.reuters.com/article/us-cyber-attack-russia-cenbank-idUSKCN18F16V,,,,226
Russian Railways,,,government,25,33000,$300-$600 per system,,,unknown,5,2017,MAY,Russia,,,,WannaCry,,,,,,https://www.dataprotectionreport.com/2017/05/wannacry-ransomware-attack-summary/,,,,,225
Russian Interior Ministry,,,government,1,,$300-$600 per system,,,unknown,5,2017,MAY,Russia,,,,WannaCry,,,,,,https://www.dataprotectionreport.com/2017/05/wannacry-ransomware-attack-summary/,,,,,224
Yancheng PD,Yancheng Police Department of China,,government,25,31000,$300-$600 per system,,,unknown,5,2017,MAY,China,,,,WannaCry,,,,,,https://www.dataprotectionreport.com/2017/05/wannacry-ransomware-attack-summary/,,,,,223
Megafon,,Russia's second largest mobile operator,telecomms,10,4000,$300-$600 per system,,,unknown,5,2017,MAY,Russia,,,,WannaCry,,,,,,https://www.dataprotectionreport.com/2017/05/wannacry-ransomware-attack-summary/,,,,,222
Sberbank ,Sberbank of Russia,Russia's largest bank,finace,100,47000,$300-$600 per system,,,unknown,5,2017,MAY,Russia,,,,WannaCry,,,,,,https://www.reuters.com/article/us-cyber-attack-russia-cenbank-idUSKCN18F16V,,,,,221
Hitachi,,,tech,100,84000,$300-$600 per system,,,unknown,5,2017,MAY,Japan,,,,WannaCry,,,,,,https://www.bbc.com/news/world-39919252,,,,,220
Deutsche Bahn,German railways,,transport,25,,$300-$600 per system,,,unknown,5,2017,MAY,Germany,,,,WannaCry,,,,,,https://www.bbc.com/news/world-39919251,,,,,219
Bank of China,,,finance,300,131000,$300-$600 per system,,,unknown,5,2017,MAY,China,,,,WannaCry,,,,,,https://www.dataprotectionreport.com/2017/05/wannacry-ransomware-attack-summary/,,,,,218
Chinese universities,,,academic,10,,$300-$600 per system,,,unknown,5,2017,MAY,China,,,,WannaCry,,,,,,https://www.bbc.com/news/world-39919250,,,,,217
CNPC,China National Petroleum Corp,,energy,300,399000,$300-$600 per system,,,unknown,5,2017,MAY,China,,,,WannaCry,,,,,,https://www.bbc.com/news/world-39919249,,,,,216
Telenor Hungary,,Hungary's second largest telecom operator,telecomms,25,12000,$300-$600 per system,,,unknown,5,2017,MAY,Hungary,,,,WannaCry,,,,,,https://www.dataprotectionreport.com/2017/05/wannacry-ransomware-attack-summary/,,,,,215
Portugal Telecom,,Portugal's largest telecom provider,telecomms,10,3000,$300-$600 per system,,,unknown,5,2017,MAY,Portugal,,,,WannaCry,,,,,,https://www.dataprotectionreport.com/2017/05/wannacry-ransomware-attack-summary/,,,,,214
Petrobras,,Brazilian oil company,energy,100,76000,$300-$600 per system,,,unknown,5,2017,MAY,Brazil,,,,WannaCry,,,,,,https://www.dataprotectionreport.com/2017/05/wannacry-ransomware-attack-summary/,https://www.worldoil.com/blog/2017/05/22/wannacry-attack-brings-cybersecurity-to-front-center-for-upstream-oil-industry,,,,213
Gas Natural,,Spanish natural gas firm,energy,25,26000,$300-$600 per system,,,unknown,5,2017,MAY,Spain,,,,WannaCry,,,,,,https://www.dataprotectionreport.com/2017/05/wannacry-ransomware-attack-summary/,,,,,212
Iberdrola,,Spanish electric utility,energy,100,43000,$300-$600 per system,,,unknown,5,2017,MAY,Spain,,,,WannaCry,,,,,,https://www.dataprotectionreport.com/2017/05/wannacry-ransomware-attack-summary/,,,,,211
Telefonica,,"Spanish, and one of the world's largest, telecom operators",telecomms,10,581,$300-$600 per system,,,unknown,5,2017,MAY,Spain,,,,WannaCry,,,,,,https://www.bbc.com/news/world-39919249,,,,,210
Renault-Nissan,,,automotive,10,1225,$300-$600 per system,,,unknown,5,2017,MAY,"France, Japan",,,,WannaCry,,,,,,https://www.reuters.com/article/us-cyber-attack-renault-idUSKCN18B0S5,https://english.elpais.com/elpais/2017/05/19/inenglish/1495181037_555348.html,,,,209
NHS,National Health Services,,healthcare,25,,92,92,cost,unknown,5,2017,MAY,UK,,"NHS hospitals and surgeries across the country were affected. Ambulances were rerouted, leaving people in an emergency stranded. It was estimated to cost NHA around $92 million after 19k appointments were cancelled as a result of the attack.",y,WannaCry,,,,,,https://www.kaspersky.co.in/resource-center/threats/ransomware-wannacry,,,,,208
Beiersdorf,,German skincare products manufacturer,retail,25,8000,41,41,cost,unknown,5,2017,JUN,Germany,,,,NotPetya,,,,,,https://www.reuters.com/article/us-cyber-results-idUSKBN1AI2CQ,,,,,207
Reckitt Benckiser,,British consumer goods company,retail,25,19000,130,130,cost,unknown,5,2017,JUN,UK,,,,NotPetya,,,,,,https://www.securityweek.com/notpetya-attack-costs-big-companies-millions,,,,,206
Nuance Communications,,American software company,tech,10,1000,90,90,cost,unknown,5,2017,JUN,USA,,,,NotPetya,,,,,,https://www.securityweek.com/nuance-estimates-notpetya-impact-90-million,,,,,205
DLA Piper,,global law firm,legal,10,2000,$300 per system,,,unknown,5,2017,JUN,UK,,"The law firm, a victim of the NotPetya outbreak, revealed that it put its IT team in 15,000 hours of paid overtime to recover from the attack.",y,NotPetya,,,,,,https://www.infosecurity-magazine.com/news/dla-piper-sue-insurer-notpetya-1-1/,,,,,203
WPP,,"British, and the world's largest, advertising agency ",logistics,25,19000,15,15,cost,unknown,5,2017,JUN,UK ,,,,NotPetya,,,,,,https://www.computerweekly.com/news/450426854/NotPetya-attack-cost-up-to-15m-says-UK-ad-agency-WPP,,,,,202
FedEx,,,logistics,100,69000,400,400,cost,unknown,5,2017,JUN,USA,,,,NotPetya,,,,,,https://www.wsj.com/articles/one-year-after-notpetya-companies-still-wrestle-with-financial-impacts-1530095906,,,,,201
Merck,,American pharma company,healthcare,100,48000,670,670,cost,unknown,5,2017,JUN,USA,,,,NotPetya,,,,,,https://www.wsj.com/articles/one-year-after-notpetya-companies-still-wrestle-with-financial-impacts-1530095906,,,,,200
Mondelez International,,American snack food giant,food & beverage,25,26000,150,150,cost,unknown,5,2017,JUN,USA,,"Mondelez, a victim of NotPetya, believed their insurance would help them recover the damage costs. Their insurer said it would not be sending a reimbursement cheque by citing the ""war exclusion"" clause in its insurance contracts. Since then, insurers have been applying this clause to avoid reimbursemnts in cyber attacks. Many companies, along with Mondelez, have taken this court.",y,NotPetya,,,,,,https://www.securityweek.com/notpetya-attack-costs-big-companies-millions,https://www.nytimes.com/2019/04/15/technology/cyberinsurance-notpetya-attack.html,,,,199
Saint-Gobain,,French multinational manufacturer of construction material,misc,100,52000,387,387,cost,unknown,5,2017,JUN,France,,,,NotPetya,,,,,,https://www.securityweek.com/notpetya-attack-costs-big-companies-millions,,,,,198
Heritage Valley HCS,Heritage Valley Health Care Systems,,healthcare,10,301,$300 per system,,,unknown,5,2017,JUN,USA,,,,NotPetya,,,,,,https://www.heritagevalley.org/news_posts/updates-on-the-cyber-security-incident-at-heritage-valley-health-system,,,,,197
Fujifilm,,,tech,25,21039,unknown,,,refused,1,2021,JUN ,Japan,,,,QBot,FUJIY,3/30/2020,,,,https://www.bleepingcomputer.com/news/security/fujifilm-shuts-down-network-after-suspected-ransomware-attack/,https://finance.yahoo.com/quote/FUJIY?p=FUJIY,,,,196
JBS,,world's largest meat processing company,food & beverage,100,53445,11,11,,unknown,1,2021,JUN ,"USA, Australia, Canada",,"On May 31, JBS was also forced to shut down production after REvil ransomware operators breached and encrypted some of its North American and Australian IT system.
",,REvil,JBSAY,12/30/2020,,,,https://www.bleepingcomputer.com/news/security/meat-giant-jbs-now-fully-operational-after-ransomware-attack/,https://www.bleepingcomputer.com/news/security/jbs-paid-11-million-to-revil-ransomware-225m-first-demanded/?traffic_source=Connatix,https://finance.yahoo.com/quote/JBSAY?p=JBSAY,,,195
Colonial Pipeline,,USA's largest pipeline system for refined oil products,energy,10,696,4.4,4.4,,unknown,1,2021,MAY,USA,,"The attack was a major one since it halted fuel distribution on the East Coast. Prior to the attack, an antivirus company-Bitdefender-announced that it found a flaw in the ransomware DarkSide was using and that companies could download its free tool to avoid paying ransom. Unfortunately, by publicizing this, DarkSide was also alerted of the flaw and repaired it. If it wasn't for Bitdefender, Colonial Pipeline could have avoided paying the ransom and could have solved the problem with the help of Wosar and Gillepsie, two researchers who had also discovered the flaw and were discreetly helping victims. Bitdefender has helped plenty of companies avoid paying millions of dollars of ransom before and don't belive in ransomware decryptors being made available silently.",y,DarkSide,PRIVATE,,501-1000,,,https://www.bbc.com/news/business-57050690,https://www.wsj.com/articles/colonial-pipeline-ceo-tells-why-he-paid-hackers-a-4-4-million-ransom-11621435636,https://www.technologyreview.com/2021/05/24/1025195/colonial-pipeline-ransomware-bitdefender/,https://incfact.com/company/colonialpipeline-alpharetta-ga/#,,194
SEPA,Scottish Environment Protection Agency,,government,1,1,800000,0.8,cost,refused,1,2021,JAN,Scotland,,,,,NA,,1300,spent $0.8 million on repairs and extra protection,,https://www.itpro.co.uk/security/358401/hackers-publish-4000-sepa-files-ransomware-attack,https://www.sepa.org.uk/about-us/our-role/,,,,193
Dairy Farm Group,,major Asian dairy company,food & beverage,25,10269,30,30,,unknown,1,2021,JAN,China,,,,REvil,DFILF,12/30/2020,,,,https://www.bleepingcomputer.com/news/security/pan-asian-retail-giant-dairy-farm-suffers-revil-ransomware-attack/,https://finance.yahoo.com/quote/DFILF?p=DFILF,,,,192
Toyota,,,automotive,300,247171,unknown,,,unknown,1,2021,FEB,Australia,,,,Not revealed,TM,3/30/2021,,"cyber attack, not ransomeware",,https://www.zdnet.com/article/toyota-australia-confirms-attempted-cyber-attack/,https://finance.yahoo.com/quote/TM?p=TM,,,,191
Electrobras & Copel,,Brazil's two major electric utilities companies,energy,25,9000,unknown,,,unknown,1,2021,FEB,Brazil,,,,Not revealed,,,22900,"attacks disrupted operations and forced the companies to suspend some of their systems.
total no of employees is sum of both companies' employees
revenue is sum of both companies' revenue",,https://www.bleepingcomputer.com/news/security/eletrobras-copel-energy-companies-hit-by-ransomware-attacks/,https://www.eletrobras.com/relatorio-sustentabilidade-2019/en/index.html_p=1122.html,https://www.copel.com/hpcopel/english/nivel2.jsp?endereco=%2Fhpcopel%2Fenglish%2Fpagcopel2.nsf%2Fdocs%2F87A2F4B44EE7EC82032574AD00596C10,,,190
Kia Motors,,,automotive,100,51978,20,20,,unknown,1,2021,FEB,USA,,"affected their mobile UVO Link apps, phone services, payment systems, owner's portal, and internal sites used by dealerships. $20m ransom.",,DoppelPaymer,,full year 2019,,,,https://www.bleepingcomputer.com/news/security/kia-motors-america-suffers-ransomware-attack-20-million-ransom/,https://www.kianewscenter.com/news/kia-motors-announces-2019-fourth-quarter-business-results/s/5a6e9676-ff25-4428-a539-7f9a93a66c50,,,,189
CD Projekt,,Polish video game developer of popular games such as Cyberpunk and The Witcher,gaming,25,2139,unknown,,,refused,1,2021,FEB,Poland,,"After CD Projekt announced that they would not be paying any ransom, the stolen data was auctioned off on a hacker forum. The auction started at $1 million, and bids were in $500,000 increments. For those who wanted to buy it immediately, the threat actors also included a buy now, or blitz, price of $7 million. The next day, the ransomware gang posted that they sold the data to someone ""outside the forum."" There's a lot of speculation as to who bought the data, if it was actually stolen and sold.",y,HelloKitty,OTGLY,12/30/2020,,,,https://www.bleepingcomputer.com/news/security/cd-projekts-stolen-source-code-allegedly-sold-by-ransomware-gang/,https://finance.yahoo.com/quote/OTGLY/financials?p=OTGLY,,,,188
MNH,Mutuelle Nationale des Hospitaliers,French health insurance company,healthcare,10,408,unknown,,,unknown,1,2021,FEB,France,,"Since the attack, the mnh.fr website displays a notice stating that it has been affected by a cyberattack that started on February 5th. This attack has caused their websites and telephone platform to become unavailable",,RansomEXX,,,730,,,https://www.bleepingcomputer.com/news/security/french-mnh-health-insurance-company-hit-by-ransomexx-ransomware/,https://www.mnh.fr/sites/iMNH/home/decouvrir-la-mnh/qui-sommes-nous.html,,,,187
Dutch Research Council,,funds scientific & academic research,academic,25,1200,unknown,,,refused,1,2021,FEB,The Netherlands,,"The hackers gained access to NWO’s network on February 8 and stole internal documents, threatening with leaking them unless the organization paid a ransom.",,DoppelPaymer,,,,data leaked since ransom wasn't paid,,https://www.bleepingcomputer.com/news/security/dutch-research-council-nwo-confirms-ransomware-attack-data-leak/,https://www.nwo.nl/en/about-nwo,,,,186
Banco Pichincha,,Ecuador's largest bank,finance,10,1000,unknown,,,unknown,1,2021,FEB,Ecuador,,,,Hotarus Corp,,,,"stolen sensitive ministry information, emails, employee information, contracts",,https://www.bleepingcomputer.com/news/security/ransomware-gang-hacks-ecuadors-largest-private-bank-ministry-of-finance/,,,,,185
Ecuador's Ministry of Finance,Ecuador's Ministry of Finance,,government,1,1,unknown,,,unknown,1,2021,FEB,Ecuador,,,,Hotarus Corp,,,,"stolen sensitive ministry information, emails, employee information, contracts",,https://www.bleepingcomputer.com/news/security/ransomware-gang-hacks-ecuadors-largest-private-bank-ministry-of-finance/,,,,,184
Harris Federation,,UK education charity,academic,5,95,unknown,,,unknown,1,2021,MAR,UK,,,,Not revealed,,,,,,https://www.bleepingcomputer.com/news/security/harris-federation-hit-by-ransomware-attack-affecting-50-schools/,https://www.harrisfederation.org.uk/80/welcome-from-the-chief-executive,,,,183
Shell,,a British-Dutch oil & gas company & the world's fifth largest company ,energy,300,180543,unknown,,,unknown,1,2021,MAR,The Netherlands,,,,Clop,RDS-A,12/30/2020,,,,https://www.bleepingcomputer.com/news/security/energy-giant-shell-discloses-data-breach-after-accellion-hack/,https://finance.yahoo.com/quote/RDS-A/financials?p=RDS-A,,,,182
Allergy Partners,,,healthcare,10,156,1.75,1.75,,unknown,1,2021,MAR,USA,,,,Not revealed,,,,,,https://www.beckershospitalreview.com/cybersecurity/hackers-demand-1-75m-from-north-carolina-clinic-during-6-day-ransomware-attack.html,,,,,181
Acer,,electronics & computer giant,tech,25,9860,50,50,,unknown,1,2021,MAR,Taiwan,,,,REvil,PRIVATE,,501-1000,,,https://www.bleepingcomputer.com/news/security/computer-giant-acer-hit-by-50-million-ransomware-attack/,https://finance.yahoo.com/company/acer?h=eyJlIjoiYWNlciIsIm4iOiJBY2VyIn0=&.tsrc=fin-srch,,,,180
FatFace,,French clothing company,retail,10,334,2,2,,ransom paid,1,2021,MAR,France,,,,Conti,PRIVATE,,1001-5000,,,https://www.verdict.co.uk/more-egg-on-fatface-face/,https://finance.yahoo.com/company/fat-face?h=eyJlIjoiZmF0LWZhY2UiLCJuIjoiRmF0IEZhY2UifQ==&.tsrc=fin-srch,,,,179
CNA,,American insurance giant,finance,25,10687,40,40,,ransom paid,1,2021,MAR,USA,,,,Phoenix Locker,CNA,12/30/2020,,,,https://www.bleepingcomputer.com/news/security/insurance-giant-cna-hit-by-new-phoenix-cryptolocker-ransomware/,https://finance.yahoo.com/quote/CNA?p=CNA&.tsrc=fin-srch,https://www.bloomberg.com/news/articles/2021-05-20/cna-financial-paid-40-million-in-ransom-after-march-cyberattack,,,178
Pimpri-Chinchwad ,Pimpri-Chinchwad Smart City Project,,government,5,28,9,9,cost,unknown,1,2021,MAR,India,,,,Not revealed,,,,$9 million in losses,,https://www.medianama.com/2021/03/223-pimpri-chinchwad-tech-mahindra-ransomware/,,,,,177
Asteelflash,,a leading French electronics company,tech,10,1000,24,24,,refused,1,2021,APR,France,,,,REvil,PRIVATE,,5001-10000,,,https://www.bleepingcomputer.com/news/security/asteelflash-electronics-maker-hit-by-revil-ransomware-attack/,https://finance.yahoo.com/company/asteelflash?h=eyJlIjoiYXN0ZWVsZmxhc2giLCJuIjoiQXN0ZWVsRmxhc2gifQ==&.tsrc=fin-srch,,,,176
Pierre Fabre,,France's second largest pharma group ,healthcare,25,2670,50,50,,refused,1,2021,APR,France,,,,REvil,PRIVATE,,10000+,,,https://www.bleepingcomputer.com/news/security/leading-cosmetics-group-pierre-fabre-hit-with-25-million-ransomware-attack/,https://finance.yahoo.com/company/pierre-fabre?h=eyJlIjoicGllcnJlLWZhYnJlIiwibiI6IlBpZXJyZSBGYWJyZSJ9&.tsrc=fin-srch,,,,175
NBA,,,media & sports,25,7920,unknown,,,unknown,1,2021,APR,USA,,,,Babuk,PRIVATE,,1001-5000,"stolen data reportedly includes critical non-disclosure agreements, contracts, and even financial data.",,https://www.techtimes.com/articles/259090/20210414/nba-attacked-with-ransomware-alleged-500-gb-of-houston-rockets-data-stolen-including-ndas-financial-data-contracts-and-more.htm,https://finance.yahoo.com/company/boston-celtics?h=eyJlIjoiYm9zdG9uLWNlbHRpY3MiLCJuIjoiTkJBIn0=&.tsrc=fin-srch,,,,174
Quanta Computer,,a leading Taiwanese notebook manufacturer and an Apple business partner,tech,100,39369,100,100,,refused,1,2021,APR,USA,,,,REvil,2382.TW,,,attackers went to Quanta Computer's parent company - Apple - for the ransom demands (hence location is US despite Quanta being Taiwanese),,https://www.bleepingcomputer.com/news/security/revil-gang-tries-to-extort-apple-threatens-to-sell-stolen-blueprints/,https://finance.yahoo.com/quote/2382.TW/financials?p=2382.TW,,,,173
Upstox,,India’s second-largest stockbroking firm,finance,10,140,1.2,1.2,,unknown,1,2021,APR,India,,,,Not revealed,PRIVATE,,101-250,,,https://tntribune.com/indian-brokerage-firm-upstox-suffers-massive-data-breach/,https://finance.yahoo.com/company/upstox?h=eyJlIjoidXBzdG94IiwibiI6IlVwc3RveCJ9&.tsrc=fin-srch,,,,172
TJR,Tribunal de Justiça do Estado do Rio Grande do Sul,Brazil's court system,legal,1,1,5,5,,unknown,1,2021,APR,Brazil,,,,REvil,,,,,,https://www.bleepingcomputer.com/news/security/brazils-rio-grande-do-sul-court-system-hit-by-revil-ransomware/,,,,,171
Brenntag,,a world-leading German chemical distributor,misc,25,14063,4.4,4.4,,ransom paid,1,2021,MAY,Germany,,,,DarkSide,BNTGY,12/30/2020,,,,https://www.bleepingcomputer.com/news/security/chemical-distributor-pays-44-million-to-darkside-ransomware/,https://finance.yahoo.com/quote/BNTGY/financials?p=BNTGY,,,,170
Bose,,,tech,25,3600,unknown,,,refused,1,2021,MAY,USA,,,,Not revealed,PRIVATE,,10000+,,,https://www.bleepingcomputer.com/news/security/audio-maker-bose-discloses-data-breach-after-ransomware-attack/,https://finance.yahoo.com/company/bose?h=eyJlIjoiYm9zZSIsIm4iOiJCb3NlIn0=&.tsrc=fin-srch,,,,169
ExaGrid,,American backup appliance supplier,tech,5,69,2.6,2.6,,ransom paid,1,2021,MAY,USA,,,,Conti,PRIVATE,,51-100,,,https://www.computerweekly.com/news/252501665/Exagrid-pays-26m-to-Conti-ransomware-attackers,https://finance.yahoo.com/company/exagrid-systems?h=eyJlIjoiZXhhZ3JpZC1zeXN0ZW1zIiwibiI6IkV4YUdyaWQgU3lzdGVtcyJ9&.tsrc=fin-srch,,,,168
One Call Insurance,,,finance,10,373,15,15,,unknown,1,2021,MAY,UK,,,,DarkSide,,,,,,https://www.insurancetimes.co.uk/news/doncaster-based-broker-faces-15m-ransomware-attack/1437560.article,https://www.onecallinsurance.co.uk/who-are-one-call-insurance,,,,167
ISS World,,Denmark-based facility management services company,logistics,25,11385,75,75,cost,unknown,2,2020,FEB,Denmark,,,,Not revealed,,,,Amt is an estimate by various reports. Official amt and whether it was paid was not revealed,,https://www.getsignal.info/blog/12-largest-ransomware-attacks-of-2020,https://www.issworld.com/en/about/people-make-places/about-iss,,,,166
Cognizant,,,tech,25,16652,70,70,cost,unknown,2,2020,APR,USA,,,,Maze,CTSH,12/30/2020,,"Amt is an estimate provided by multiple sources, but the official amt and whether it was paid has not been revealed by Cognizant",,"https://usa.kaspersky.com/resource-center/threats/top-ransomware-2024


",https://analyticsindiamag.com/top-8-ransomware-attacks-of-2020-that-shook-the-internet/,https://www.crn.com/news/channel-programs/cognizant-contains-maze-ransomware-attack-as-cleanup-costs-spiral,https://www.computerweekly.com/news/252482950/Maze-ransomware-attack-will-cost-Cognizant-at-least-50m-to-70m,https://finance.yahoo.com/quote/CTSH/financials?p=CTSH,165
Sopra Steria,,French digital services company,tech,25,5170,50,50,,unknown,2,2020,OCT,France,,,,Ryuk,SOP.PA,12/30/2020,,,,https://www.soprasteria.com/newsroom/press-releases/details/cyberattack-updated-information,https://finance.yahoo.com/quote/SOP.PA/financials?p=SOP.PA,,,,164
GSMS Law Firm,Grubman Shire Meiselas & Sacks Law Firm,,legal,5,14,42,42,,refused,2,2020,MAY,USA,,"The initial ransom demanded was 21 million but when the group found out there are files about Donald Trump, the ransom was increased to 42. On the FBI's advice, the ransom was not paid. The firm has managed to retrieve some of the stolen data but much of it is still up for auction. The attack led to the loss of sensitive data belonging to high profile celebrities like Lady Gaga, Madonna & Bruce Sprignsteen.",y,REvil,,,,"Amt was not paid, stolen data is being auctioned by attackers",,"https://usa.kaspersky.com/resource-center/threats/top-ransomware-2025
",https://epicbrokers.com/insights/grubman-shire-meiselas-sacks-attack/,https://www.zoominfo.com/c/grubman-indursky-schindler/22365537,,,163
Foxconn,,Taiwanese electronics giant,tech,25,3785,34,34,,refused,2,2020,DEC,Mexico,,"Foxconn electronics giant suffered a ransomware attack at a Mexican facility over the Thanksgiving weekend, where attackers stole unencrypted files before encrypting devices.",,DoppelPaymer,,12/30/2020,,,,https://www.computerweekly.com/news/252493330/The-week-in-ransomware-Foxconn-and-Randstad-are-high-profile-victims,https://www.thesslstore.com/blog/recent-ransomware-attacks-latest-ransomware-attack-news/,https://finance.yahoo.com/quote/2354.TW/financials?p=2354.TW,,,162
Software AG,,Germany's second largest software vendor,tech,10,1012,20,20,,refused,2,2020,OCT,Germany,,,,Clop,SOW.DE,12/30/2020,,,,"https://usa.kaspersky.com/resource-center/threats/top-ransomware-2032
",https://www.computerweekly.com/news/252490395/Software-AG-caught-in-double-extortion-ransomware-hit,https://finance.yahoo.com/quote/SOW.DE/financials?p=SOW.DE,,,161
Redcar & Cleveland Council,,,government,1,1,10,10,,unknown,2,2020,FEB,UK,,,,Not revealed,,,,"States no ransom was paid, recovery costs were upto 10mn",,https://www.bbc.com/news/uk-england-tees-56668176,,,,,160
EDP,Energias de Portugal,largest Portuguese industrial group,energy,25,15099,10,10,,unknown,2,2020,APR,Portugal,,,,Ragnar Locker,EDP.LS,12/30/2020,,,,"https://usa.kaspersky.com/resource-center/threats/top-ransomware-2023
",https://www.zdnet.com/article/edp-energy-confirms-cyberattack-ragnar-locker-ransomware-blamed/,https://finance.yahoo.com/quote/EDP.LS/financials?p=EDP.LS,,,159
Bouygues,,French industrial group,"logistics, telecoms",100,42156,10,10,,unknown,2,2020,JAN,France,,,,Maze,EN.PA,12/30/2020,,,,https://www.zdnet.com/article/bouygues-construction-falls-victim-to-ransomware/,https://informationsecuritybuzz.com/expert-comments/bouygues-construction-paralysed-by-a-major-cyber-attack-experts-insight/,https://finance.yahoo.com/quote/EN.PA/financials?p=EN.PA,,,158
Advantech,,leading global Taiwanese tech manufacturer,tech,25,1847,14,14,,refused,2,2020,NOV,Taiwan,,,,Conti,2395.TW,12/30/2020,,,,"https://www.bleepingcomputer.com/news/security/iot-chip-maker-advantech-confirms-ransomware-attack-data-theft/
",https://siliconangle.com/2020/11/29/industrial-computer-manufacturer-advantech-hit-ransomware-attack/,https://finance.yahoo.com/quote/2395.TW/financials?p=2395.TW,,,157
